datetime,open,high,low,close,volume
2025-10-11 02:30:00+00:00,112180.23,112380.34,112173.33,112341.92,79.30447
2025-10-11 02:31:00+00:00,112341.91,112412.52,112291.04,112397.89,41.12476
2025-10-11 02:32:00+00:00,112397.88,112412.52,112290.0,112300.01,39.72412
2025-10-11 02:33:00+00:00,112300.0,112399.32,112268.55,112393.88,33.13559
2025-10-11 02:34:00+00:00,112393.87,112401.94,112354.83,112355.81,25.205
2025-10-11 02:35:00+00:00,112355.81,112400.0,112355.8,112364.99,18.73059
2025-10-11 02:36:00+00:00,112364.99,112395.36,112251.02,112251.02,30.26994
2025-10-11 02:37:00+00:00,112251.03,112357.58,112168.25,112344.96,34.88558
2025-10-11 02:38:00+00:00,112344.96,112443.53,112344.95,112443.52,37.78732
2025-10-11 02:39:00+00:00,112443.53,112607.14,112416.19,112607.13,67.51765
2025-10-11 02:40:00+00:00,112607.13,112607.13,112528.23,112532.16,24.59051
2025-10-11 02:41:00+00:00,112532.17,112736.92,112514.66,112732.67,78.55487
2025-10-11 02:42:00+00:00,112732.68,112862.87,112700.27,112835.61,66.42525
2025-10-11 02:43:00+00:00,112835.6,113037.95,112802.5,112996.55,86.17123
2025-10-11 02:44:00+00:00,112996.54,113232.21,112987.12,113172.58,81.17935
2025-10-11 02:45:00+00:00,113172.58,113297.92,113107.62,113107.63,70.28346
2025-10-11 02:46:00+00:00,113107.62,113185.15,113084.55,113084.56,40.96504
2025-10-11 02:47:00+00:00,113084.55,113094.01,112972.97,113029.67,61.35475
2025-10-11 02:48:00+00:00,113029.68,113228.44,113007.41,113224.26,38.33865
2025-10-11 02:49:00+00:00,113224.27,113265.5,113185.84,113251.69,32.7795
2025-10-11 02:50:00+00:00,113251.69,113262.16,113208.51,113210.73,22.47844
2025-10-11 02:51:00+00:00,113210.74,113210.74,113179.59,113179.61,29.13024
2025-10-11 02:52:00+00:00,113179.6,113208.52,113135.18,113201.9,29.19066
2025-10-11 02:53:00+00:00,113201.89,113274.03,113201.89,113207.85,29.11608
2025-10-11 02:54:00+00:00,113207.85,113207.85,113145.36,113161.3,41.95131
2025-10-11 02:55:00+00:00,113161.29,113176.75,113138.0,113138.01,20.60211
2025-10-11 02:56:00+00:00,113138.01,113192.99,113128.91,113190.07,58.73291
2025-10-11 02:57:00+00:00,113190.07,113209.6,113190.07,113200.01,61.33485
2025-10-11 02:58:00+00:00,113200.01,113200.02,113117.74,113117.75,63.28596
2025-10-11 02:59:00+00:00,113117.75,113203.37,113113.27,113196.48,43.06471
2025-10-11 03:00:00+00:00,113196.48,113296.92,113188.41,113291.03,49.37438
2025-10-11 03:01:00+00:00,113291.03,113322.39,113151.03,113151.03,72.96049
2025-10-11 03:02:00+00:00,113151.04,113160.0,113068.16,113122.35,58.09889
2025-10-11 03:03:00+00:00,113122.34,113122.35,112901.59,112901.6,60.98919
2025-10-11 03:04:00+00:00,112901.6,112901.6,112809.05,112815.2,50.4915
2025-10-11 03:05:00+00:00,112815.19,112815.2,112635.22,112667.01,40.12737
2025-10-11 03:06:00+00:00,112667.02,112672.05,112361.04,112372.29,119.02187
2025-10-11 03:07:00+00:00,112372.29,112512.58,112372.29,112504.01,29.44522
